title,category
"Ambles Akibat Longsor, Warung Makanan Pinggir Kali di Pulo Gadung Dirubuhkan",Megapolitan
"Heboh Kerajaan Kandang Wesi di Garut, Nurseno: Saya Hanya Mengajarkan Bela Diri",Regional
"Rambut 2 Meter yang Jadi Sarang Tikus Dipotong, Sukiyah Mulai Komunikasi",Regional
"Warga Sebut Banjir Jelang Imlek Ganggu Ibadah, Ada Juga yang Bilang Tanda Hoki",Megapolitan
Komnas HAM Minta Penyelesaian Kasus Tragedi Semanggi Tak Lagi Diributkan,Nasional
Masyarakat China dan Sumbangsih pada Bahasa di Indonesia,Megapolitan
"Ada 78 Titik Genangan di Jakarta, Salah Satunya Sedalam 2,5 Meter akibat Hujan Awet",Megapolitan
Mahfud MD: Tak Ada Tenggat Waktu Penyelesaian Tragedi Semanggi I dan II,Nasional
"Cantiknya Underpass Bandar Udara YIA, Bertabur Gambar Kesenian Angguk dan Penari Jatilan",Regional
Cara PDI-P Tangani Kasus Harun Bisa Berdampak Buruk di Pilkada 2020,Nasional
Hasto Ungkap Alasan PDI-P Ajukan Harun Masiku Sebagai Pengganti Nazarudin Kiemas,Nasional
Presiden Jokowi Jamin Ibu Kota Baru Bebas Banjir dan Macet,Nasional
"Habiskan Dana Desa untuk Foya-foya dan Bayar Utang, Mantan Kades di Sumsel Ditangkap",Regional
"Kasus Pembunuhan Guru SMP di Jombang, Pelaku Bawa Pisau dari Rumah",Regional
"Jakarta Hujan Sejak Pagi, Jalan Gading Kirana Tergenang 20 Sentimeter",Megapolitan
Polisi Kembali Tangkap Satu Tersangka Prostitusi Anak di Rawa Bebek,Megapolitan
"Bertemu Pimpinan MPR, Dubes Xiao Qian Ungkap Penyebab Nelayan China Melaut di Natuna ",Nasional
"""Geng Donki"" Pelaku Begal di Bali Ditangkap Polisi, Isinya Anak-anak Sekolah",Regional
"Netizen Dibuat Ngakak Ban Depan Motor Diganti Donat, Ini Kisahnya",Regional
"Jika Diharuskan, Pemprov DKI Siap Hentikan Sementara Revitalisasi Monas",Megapolitan
"Hasto Dicecar 24 Pertanyaan oleh Penyidik KPK, Termasuk Soal Harun Masiku",Nasional
Presiden Jokowi Perintahkan Kemenkes Antisipasi Masuknya Virus Corona,Nasional
Kronologi Pelajar SMA Hilang 2 Bulan lalu Ditemukan Tinggal Tengkorak,Regional
"Hujan Tak Kunjung Reda, Transjakarta Alihkan 3 Rute",Megapolitan
"Tiga Turis Asing Diduga Terjangkit Virus Corona, RSUP Sanglah Kirim Hasil Pemeriksaan ke Jakarta",Regional
Yuliana Bertaruh Nyawa Terobos Banjir Tinggi demi Tetap Mengajar,Regional
RUU KKR dan Upaya Ampuh Pemerintah Menuntaskan Pelanggaran HAM Berat,Nasional
Tiga Ruko di Pulo Gadung Ambles akibat Longsor,Megapolitan
"Pidato dalam Pertemuan Parpol Dunia, Ini yang Disampaikan Wapres Ma'ruf Amin ",Regional
"Lubang Peluru di Tubuh Wawan, Aktivis Tim Relawan untuk Kemanusiaan",Nasional
Proyek Revitalisasi Monas Tetap Berjalan meski Belum Berizin,Megapolitan
"Waspadai Virus Corona, 10 Rumah Sakit di Jateng Siapkan Ruang Isolasi",Regional
Kapolri Bentuk Satgas Pengamanan Imlek,Nasional
"Tanggapi Virus Corona, PM Singapura Minta Warga Tenang namun Waspada",Internasional
Kisah Relawan Potong Rambut Gimbal 2 Meter dan Jadi Sarang Hewan: Saya Merinding,Regional
"Saat Imlek, 250 Polisi Dikerahkan ke Kelenteng dan Wihara di Bekasi",Megapolitan
Guru SMP yang Tewas di Rumahnya Dibunuh oleh Pasutri Tetangga Desa,Regional
"Miliki Pen Gun secara Ilegal, Pedagang di Maros Ditangkap Polisi",Regional
Pemprov DKI Akan Ajukan Izin Revitalisasi Monas Sore Ini,Megapolitan
"Tangani Kasus Virus Corona, RSUP Adam Malik Siapkan 11 Ruang Isolasi",Regional
"Pelaku Curanmor di Parkiran Kampus Residivis, Sudah 6 Kali Curi Motor Setelah Setahun Bebas",Megapolitan
Polisi Telah Memintai Keterangan Ilham Bintang atas Kasus Pembobolan Rekening,Megapolitan
4 Warga NTT Meninggal Terkena DBD,Regional
"Butuh Uang Setelah Gagal Jadi Caleg, Akiun Gasak Sarang Walet",Regional
PLN Matikan 15 Gardu Listrik di Wilayah Terendam Banjir,Megapolitan
RSUD Kota Bekasi Siapkan Masker buat Para Pegawai untuk Antisipasi Virus Corona,Megapolitan
"Berkaca pada Yasonna, Jokowi Minta Menteri Hati-hati Beri Statement",Nasional
"Wabah Virus Corona di China: 26 Orang Meninggal, 9 Kota Kena Larangan Bepergian",Internasional
"Antisipasi Pengidap Virus Corona, RSUD Kota Bekasi Pertimbangkan Rujuk Pasien ke RS Khusus Infeksi",Megapolitan
"Hujan di Jakarta, Halaman Wihara Dharma Bhakti Petak Sembilan Tergenang Air",Megapolitan
"Pelaku Skimming BNI yang Bobol Lebih dari Rp 500 Juta: Diduga Beraksi dari Lokasi Berbeda, Gunakan Kartu Kloning    ",Regional
"""Car Free Month"" di Gunung Bromo, Hanya Boleh Jalan Kaki atau Berkuda",Regional
"Bengkel di Sumedang Tersambar Petir, 5 Sepeda Motor Hangus Terbakar",Regional
Mahfud: Belum Ada Putusan Tragedi Semanggi Pelanggaran HAM Berat atau Bukan,Nasional
Genangan Air 30 Sentimeter di Kawasan Monas Telah Surut,Megapolitan
"Heboh Keraton Agung Sejagat, Kini Viral Kerajaan Kandang Wesi di Garut",Regional
"Diperiksa, Saksi Kunci Kasus Investasi MeMiles Tahu Seluk-beluk Aliran Dana",Regional
PP Muhammadiyah Keluarkan Fatwa Haram Vape,Regional
"Isap Sabu, Oknum Perangkat Desa Ini Berdalih untuk Meningkatkan Stamina",Regional
"Heboh Virus Conora, Penerbangan dari Bandara Soetta ke China Tetap Dibuka",Megapolitan
"Tiga Pasien Diduga Terinfeksi Virus Corona Dirawat di Bali, 2 Anak-anak",Regional
"Kebakaran Besar di Sibolga, 30 Keluarga Kehilangan Rumah",Regional
"Video Kecelakaan dengan Kepala Korban Putus Beredar, Ini Penjelasan Polisi",Regional
Begini Modus Dua Pencuri Motor yang Beraksi di Tempat Parkir Kampus,Megapolitan
"Kemenristek Umumkan CPNS Lulus ke SKD, Unduh Daftarnya di Sini ",Edukasi
"Antisipasi Virus Corona, Pemprov DKI Imbau Warga Lakukan Ini",Megapolitan
Meneladani Semangat Bocah Obesitas Arya Permana untuk Pulih...,Regional
Siswa SMP di Solo Dikeluarkan dari Sekolah karena Ketahuan Isap Vape,Regional
"Antisipasi Virus Corona, RSUD Kota Bekasi Siapkan Ruang Isolasi",Megapolitan
Dubes China Sebut Tak Ada Persoalan dengan Indonesia Terkait Teritorial Natuna,Nasional
"Sedang Bersihkan Saluran Air, PPSU Tanah Sereal Temukan Biawak Sepanjang 1,5 Meter",Megapolitan
"Terkait Kasus Wahyu Setiawan, KPK Diingatkan Bekerja Profesional di Hadapan Publik",Nasional
"Antisipasi Virus Corona, RSHS Bandung Siapkan 5 Ruang Isolasi Khusus",Regional
"Hati-hati Tersetrum Listrik Saat Banjir, Ini Cara Menghindarinya",Megapolitan
Sunda Empire Kembangkan Sayap hingga Aceh? Ini Kata Kesbangpol Aceh Utara,Regional
"Hujan ""Awet"" di Jakarta, Kawasan Monas Sempat Tergenang Air Setinggi 30 Sentimeter",Megapolitan
"Jarak Rumah Hanya 2 Meter, Orangtua Mengaku 8 Bulan Tak Bertemu Anaknya yang Gantung Diri",Megapolitan
Komnas HAM Siap Temui Jaksa Agung Bahas Tragedi Semanggi I dan II,Nasional
"Paman dan Keponakan Selingkuh, Bayinya Dibuang di Bawah Jembatan",Regional
Jenderal Polisi Gadungan yang Tipu Korban Rp 310 Juta Diduga Kelainan Jiwa,Regional
"Banjir di Sejumlah Wilayah Jakut, Wakil Wali Kota: Belum Ada Warga yang Mengungsi",Megapolitan
Pria di Bekasi Gantung Diri dengan Tali di Kandang Kambing,Megapolitan
Alasan Remaja Putri di Makassar Bohong soal Dibius dan Disekap Pria Bertopeng,Regional
"Tambah 1 Lagi Tewas, Korban Miras Oplosan Maut di Tasikmalaya Jadi 8 Orang",Regional
"Antisipasi Virus Corona, Semua Bandara di Kaltim Dipasang Thermoscanner",Regional
"Sempat Buron 2 Bulan, Pelaku Bentrokan di Universitas HKBP Nommensen Ditangkap",Regional
Polisi Tangkap Dua Pencuri Motor yang Beraksi di Parkiran Kampus,Megapolitan
"Diperiksa KPK, Hasyim Asy'ari Ditanya soal Tugasnya sebagai Komisioner KPU",Nasional
Monyet Ekor Panjang Gunung Ciremai Ditangkapi karena Overpopulasi dan Kurang Pakan,Regional
"Cerita Mahasiswa Indonesia di Wuhan, Kota Virus Corona Mulai Menyebar",Internasional
"Hujan Deras Guyur Jakarta, Lalin Tersendat Akibat Sejumlah Ruas Jalan Banjir",Megapolitan
"Baru Punya Waktu Sejak Dilantik, Kapolri Bertemu Kompolnas",Nasional
"Menyusuri Petak Sembilan, Surganya Pasar Kuliner hingga Obat Herbal",Megapolitan
Sikap PDI-P Dinilai Belum Jelas soal Posisi Harun Masiku di Partai,Nasional
"Jumat Kelam Tragedi Semanggi 1998, Perjalanan Mencekam Bertemu Wawan...",Nasional
"Virus Corona Jangkit Kota Wuhan, Pemerintah China Batasi Akses Warga",Nasional
"Hujan Deras, Ini Titik Genangan di Sejumlah Jalan Jakarta",Megapolitan
Karyawan Minta BPK Turun Tangan Mengaudit Dewas TVRI,Nasional
Pasien yang Diduga Terinfeksi Virus Corona Dirawat di Ruang Isolasi RSPI,Megapolitan
"Fakta Komik Vulgar Bertulis 'Jangan Sampai Hamil, Ya': Beredar di SD hingga Buku Akan Dibakar",Regional
"Dibohongi Suami Selama 7 Tahun Pernikahan, Ini Kata Istri TNI Gadungan di Pekalongan",Regional
"Banjir di Jalan DI Panjaitan, Sejumlah Motor Mogok",Megapolitan
"Dulu Tinggal di Toilet Sekolah, Guru Honorer di Pandeglang Kembali ke Rumah dan Buka Usaha",Regional
"Gejala Virus Corona Sangat Umum, Warga Diminta Waspada",Megapolitan
Kantor Wali Kota Jakarta Utara Kebanjiran,Megapolitan
"Dugaan Penyiksaan Lutfi, Kapolri: Kalau Tidak Benar Bisa Jadi Bumerang",Nasional
Karyawan TVRI: Apa Kesalahan Helmy Yahya yang Mendasar sehingga Dipecat?,Nasional
"Banjir Mulai Genangi Pademangan, Warga Stok Mi Instan hingga Air Bersih",Megapolitan
Jalan DI Panjaitan Macet gara-gara Genangan Air Hujan,Megapolitan
Manajer Pemakzulan: Trump Menyalahgunakan Kekuasaan secara Berbahaya,Internasional
PDI-P Dinilai Pasang Badan soal Harun Masiku,Nasional
"Virus Corona Mewabah, Dubes China Pastikan Situasi Belum Darurat Global",Nasional
Serangan Netizen ke Akun Medsos Pelaku Penodongan di Warteg Mempersulit Kerja Polisi,Megapolitan
Kapolri Bentuk Tim Usut Dugaan Penyiksaan Oknum Polisi terhadap Lutfi,Nasional
"Daftar 100 Sekolah Jakarta Barat Terakreditasi A dari SMP, SMA/SMK",Edukasi
"Berkas Penyidikan Rampung, Imam Nahrawi Segera Disidang",Nasional
Butuh 3 Hari untuk Pastikan Pasien yang Dirawat di RSPI Terinfeksi Virus Corona,Megapolitan
MAPID Sajikan Peta Wilayah Rawan Banjir di Jakarta,Megapolitan
"Mengaku Bisa Luluskan ke Akpol, Jenderal Gadungan Ini Ternyata Ingin Jadi Polisi ",Regional
Persiapan Venue PON 2020 di Papua Ditargetkan Rampung Juni,Nasional
"Gaya Hidup ""Zero Waste"" Bebas Sampah, Ibarat Instal Aplikasi di Ponsel Jadul",Regional
"Malam Tahun Baru Imlek di Solo, Kawasan Pasar Gede Ditutup Mulai Pukul 18.00 WIB",Regional
"Pelajar Bunuh Begal Divonis Bersalah, Humas PN Kepanjen: Itu Pertimbangan Hakim",Regional
Mengintip Biaya Kuliah Kedokteran di 5 Universitas Negeri Tanah Air,Edukasi
"Antisipasi Virus Corona, Angkasa Pura II Bagikan Masker Gratis untuk Petugas Bandara Soetta",Megapolitan
"Ketua KPU: Problemnya, MK Putuskan Eks Napi Korupsi Boleh Ikut Pilkada",Nasional
Kronologi Pasien Diduga Terinfeksi Virus Corona hingga Dirawat di RSPI Sulianti Saroso,Megapolitan
"Cegah Virus Corona, Angkasa Pura II Perketat Pengawasan 2 Bandara Ini",Megapolitan
"Remaja Putri Mengaku Dibius 6 Pria dan Disekap 3 Hari, Ini yang Sesungguhnya Terjadi",Regional
"Wabah Corona Menyerang, Lion Grup Tutup Sementara Penerbangan ke Wuhan",Megapolitan
"Selain Hasto, KPK Akan Periksa 3 Staf PDI-P",Nasional
"Turun 109 Kg, Arya Permana Kini Senang Main Basket, Sepak Bola hingga Renang",Regional
Pelaku Usaha Ritel di Cianjur Dilarang Gunakan Kantong Plastik,Regional
Kompolnas Dorong Propam Telusuri Oknum Polisi Penganiaya Lutfi,Nasional
Pemprov DKI Jakarta Beri Bantuan Peralatan Sekolah hingga Obat-obatan untuk Korban Banjir,Megapolitan
"Hujan Deras, Jalan Medan Merdeka Barat Tergenang ",Megapolitan
17 Titik di Jakarta Dilanda Banjir Siang Ini,Megapolitan
"Jari Kaki Wanita Digigit Tikus di Bioskop, Summarecon Mall Serpong Buat Program Berantas Hama",Megapolitan
BMKG: Jakarta dan Jawa Barat Siaga Banjir Hari Ini dan Sabtu Besok,Megapolitan
